area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1700,3,2,93.5
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1600,3,0,75
Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,1550,4,1,120
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,SiineSu,1560,3,3,125
Plot  Area,18-Jan,Horamavu Agara,6 Bedroom,,1000,5,3,98
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2,2,46
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1200,4,1,160
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1403,3,1,56
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1010,2,1,40.39
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1416,3,1,94
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1628,2,2,68
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,,1660.4,4,2,211
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,125
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,Prora F,1595,3,3,62
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Niacesa,1507,2,3,95
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Prook M,2560,3,,288
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1949,3,1,133
Plot  Area,Ready To Move,BTM 2nd Stage,2 Bedroom,,800,2,1,175
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,28.88
Super built-up  Area,20-Jun,Sonam Layout,2 BHK,,905,2,1,50
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,3,2,245
Super built-up  Area,Ready To Move,CR Layout,3 BHK,,1495,3,,200
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,,1605,3,3,105
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1290,2,1,73
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1100,2,1,60
Super built-up  Area,Ready To Move,Vishveshwarya Layout,6 BHK,,2100,6,0,92
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,995,2,1,49.8
Plot  Area,Ready To Move,Banashankari Stage II,2 Bedroom,,500,2,1,55
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4,3,598
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Apentir,1425,2,2,47
Super built-up  Area,Ready To Move,BTM 4th Stage,3 BHK,,1455,2,2,55
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,550,1,1,23
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Shony S,1385,2,2,48.48
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,7000,4,,210
Super built-up  Area,Ready To Move,Srinivasa Nagar,5 BHK,,4000,3,0,130
Super built-up  Area,18-May,Gollahalli,2 BHK,,1060,2,1,53
Super built-up  Area,Ready To Move,AGS Layout,3 BHK,,1080,2,2,75
Built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1783,3,2,125
Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2,2,90
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SavanBr,1060,2,1,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1267,2,1,54.35
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1155,2,2,55
Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2500,3,2,180
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,MNikaas,1240,2,1,65
Super built-up  Area,Ready To Move,Gollahalli,3 BHK,MJlese ,1570,3,2,78
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1019,2,1,45.9
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,3,3,76
Super built-up  Area,Ready To Move,Arekempanahalli,3 BHK,,1537,3,2,110
Super built-up  Area,Ready To Move,Whitefield,4 BHK,UKe 2nz,4075,5,3,226
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1550,3,3,52.45
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1100,2,1,50
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1750,3,2,150
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,HMigond,1466,2,2,71
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,2,72.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,2300,4,3,102
Super built-up  Area,19-Aug,Kengeri,1 BHK,VBn 2lm,540,1,1,22.5
Plot  Area,Ready To Move,8th Phase JP Nagar,3 Bedroom,Hincy V,950,3,2,130
Built-up  Area,Ready To Move,Chamundi Nagar,7 Bedroom,,2800,7,1,250
Super built-up  Area,Ready To Move,Silk Board,2 BHK,,1020,2,3,48
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,LeDuvMy,2880,3,2,501
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Prersis,1987,4,2,165
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1305,2,1,75
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,,2100,3,1,125
Built-up  Area,18-Dec,Electronic City,2 BHK,,1125,2,1,32.5
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1225,2,2,49.5
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2,1,55.5
Super built-up  Area,Ready To Move,MRCR Layout,2 BHK,,1191,2,1,90
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,3600,6,2,303
Built-up  Area,18-Dec,Electronic City,2 BHK,,1165,2,1,33.64
Super built-up  Area,18-Apr,Kacharakanahalli,2 BHK,,865,2,1,35.11
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1850,2,2,88
Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497,1,1,17
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2,2,89
Super built-up  Area,21-Nov,Thanisandra,3 BHK,Bhe 2ko,1732,3,3,85.73
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614,2,1,100
Built-up  Area,Ready To Move,Magadi Road,2 BHK,Jaaveha,600,1,1,22
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,155
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2,2,34
Built-up  Area,Ready To Move,Shettihalli,4 Bedroom,,2100,4,1,90
Built-up  Area,Ready To Move,Shampura,4 BHK,,672,3,1,54
Built-up  Area,Ready To Move,J C Nagar,8 BHK,,800,6,3,110
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3,1,150
Super built-up  Area,Ready To Move,OLd Gurappanapalya,4 BHK,SoliaMa,2849,5,,250
Built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1000,2,2,42
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2,1,75
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2245,4,2,154
Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,Baanise,1476,3,1,125
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,3,2,130
Super built-up  Area,18-Aug,Udaya Nagar,2 BHK,,1225,2,2,47
Super built-up  Area,Ready To Move,Panathur,3 BHK,Skinaa ,1597,3,1,67.12
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,2423,4,3,160
Super built-up  Area,19-Mar,Marathahalli,2 BHK,PrensKe,1152,2,1,90
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1762,3,2,133
Plot  Area,Ready To Move,Kammasandra,3 Bedroom,Daden G,1400,3,2,92
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,74.4
Plot  Area,Ready To Move,New Thippasandra,6 Bedroom,,2400,6,3,400
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2,2,40.17
Super built-up  Area,18-May,Yelahanka,3 BHK,Miitat ,1890,3,2,108
Super built-up  Area,Ready To Move,Varthur Road,3 BHK,,1247,2,2,58
Plot  Area,Ready To Move,1st Block Jayanagar,8 Bedroom,,700,4,,104
Plot  Area,Ready To Move,HRBR Layout,6 Bedroom,,1000,6,3,275
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1201,2,2,59.99
Built-up  Area,18-Feb,Gunjur Palya,2 BHK,BDectou,830,2,2,40
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1165,2,1,30.29
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,KancyRe,1100,1,2,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,ImiteEl,1890,2,,93
Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,ItAnuna,1685,3,2,60
Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,Sowerew,3131,4,3,349
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,,1165,2,1,43
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,ICoolon,827,2,1,45
Plot  Area,Ready To Move,Gangondanahalli,3 Bedroom,,396,2,0,48
Plot  Area,Ready To Move,Uttarahalli,4 Bedroom,,1200,4,3,179
Built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Prmes H,635,1,0,26
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Prtates,4000,4,3,380
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2 BHK,ShtalCr,1050,2,1,50
Built-up  Area,Ready To Move,D Group Employees Layout,5 Bedroom,,600,4,3,76
Super built-up  Area,22-May,Jakkur,3 BHK,,1819.18,3,2,168
Plot  Area,Ready To Move,Kanakapura,3 Bedroom,,1500,3,3,125
Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,,1500,2,2,57
Super built-up  Area,Ready To Move,Benson Town,3 BHK,Gopus O,2850,4,3,470
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Elleyt ,1751,3,3,72
Super built-up  Area,18-Jan,Vasanth nagar,4 BHK,Prian E,4750,6,1,1102
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1020,2,1,40.89
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SaSkyBl,1148,2,1,43.5
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,1856,3,2,135
Plot  Area,Ready To Move,Basavangudi,6 Bedroom,,1754,6,2,650
Plot  Area,Ready To Move,2nd Block Hrbr Layout,3 Bedroom,,4273,3,,1100
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,,1060,2,1,49.27
Built-up  Area,Ready To Move,Haralur Road,2 BHK,,1300,2,2,60
Built-up  Area,Ready To Move,Hormavu,4 Bedroom,,3000,4,0,100
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GoncyRe,1325,2,2,65
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,Alivae ,1261,2,2,61
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,46
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,700,2,1,33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1675,2,2,135
Plot  Area,Ready To Move,Ullal Road,4 Bedroom,,3400,4,2,190
Super built-up  Area,18-Aug,Kodihalli,4 BHK,Soianal,3260,5,3,388
Super built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,,1180,2,2,56
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sencys ,1160,2,2,45
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,,1863,3,2,105
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1914,3,2,149
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,C ensnd,1458,3,2,79
Plot  Area,Ready To Move,Thirumenahalli,5 Bedroom,,1200,4,2,115
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1105,2,1,40
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Vapasrk,3035,5,3,220
Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,,1200,6,3,160
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3,,90
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1556,3,2,86
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,50
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1455,2,1,98
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,1205,2,1,70
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,,1194,2,1,65
Plot  Area,Ready To Move,Laggere,2 Bedroom,,1200,2,0,75
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Pyvenas,1100,2,2,52
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,S2kaaan,1405,3,2,48.87
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,1,56
Built-up  Area,Ready To Move,Frazer Town,4 BHK,Asuilnc,3436,5,,341
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2,1,39.33
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,2100,4,3,92
Super built-up  Area,17-Jul,Channasandra,2 BHK,Unm 2El,1065,2,1,40.47
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3,0,84.29
Plot  Area,Ready To Move,Kengeri,6 Bedroom,,1500,6,3,150
Plot  Area,Ready To Move,Hullahalli,5 Bedroom,,1200,5,2,99
Super built-up  Area,18-Apr,Hormavu,2 BHK,,1093,2,1,32.78
Built-up  Area,Ready To Move,Anandapura,2 BHK,LoLeoen,1250,2,2,45
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1680,3,3,105
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Shentpa,1146,2,1,50
Super built-up  Area,18-Apr,Jagajyothi layout,2 BHK,,1250,2,3,58
Super built-up  Area,17-Oct,Ramagondanahalli,3 BHK,ViistLa,1451,3,1,60.44
Super built-up  Area,Ready To Move,Nobo Nagar,3 BHK,Elacet ,1424,2,3,55
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Krryll ,1435,2,3,62
Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1,0,26.91
Super built-up  Area,18-Jan,Bommanahalli,3 BHK,,1300,3,2,45
Super built-up  Area,Ready To Move,Whitefield,2 BHK,FoityIn,1242,2,2,65
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1910,3,3,119
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PrrloMo,1610,4,2,85
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Reiteee,1127,2,1,65
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1075,2,1,42
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1155,2,1,51
Plot  Area,Ready To Move,Lakkasandra Extension,5 Bedroom,,1280,3,1,250
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,ThntsAp,1250,3,1,55
Plot  Area,18-Mar,Kuvempu Layout,3 Bedroom,LGeete ,2200,4,2,160
Built-up  Area,Ready To Move,Billekahalli,3 Bedroom,,2400,3,1,150
Super built-up  Area,Ready To Move,Chandapura,2 BHK,PavesGr,876,2,2,29.5
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1850,2,2,89
Super built-up  Area,18-Apr,Kadugodi,2 BHK,Alestrb,1314,2,3,83
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,690,1,1,39.8
Built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,Shrds O,3500 - 3600,,,167.5
Built-up  Area,Ready To Move,Srirampura,2 BHK,HooudSi,1230,2,3,55
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920,2,1,37.2
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3,3,140
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Goty  E,1073,2,2,60
Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,Lalipa ,1540,3,3,76
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,63.5
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Satle C,1198,2,1,65
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,HMtesle,1656,3,2,90
Super built-up  Area,Ready To Move,Kaveri Nagar,3 BHK,Roiti A,1900,3,3,155
Built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1910,3,2,142
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1003,2,1,43
Built-up  Area,Ready To Move,Chickpet,2 BHK,,122Sq. Yards,2,0,48
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sonviik,1495,2,,67
Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,2172,3,2,76.02
Plot  Area,Ready To Move,Sarakki Nagar,4 Bedroom,,2400,4,2,358
Plot  Area,Ready To Move,T G extension,2 Bedroom,,1200,1,2,95
Super built-up  Area,Ready To Move,Whitefield,3 BHK,DSe 2ie,1548,3,1,65
Plot  Area,18-Mar,2nd Block Koramangala,7 Bedroom,,5400,5,,972
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5,0,154.5
Super built-up  Area,18-Jul,Hosur Road,3 BHK,PuendWe,1689,3,1,103
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,,1031,2,1,53
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4,2,111
Plot  Area,18-Dec,Whitefield,2 Bedroom,,1200,2,2,46.13
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,,1060,2,2,37
Super built-up  Area,Ready To Move,Devi Nagar,2 BHK,RMerslu,1100,2,1,61
Plot  Area,Ready To Move,GKW Layout,4 Bedroom,,1350,4,2,225
Plot  Area,Ready To Move,Gandhi Nagar,5 Bedroom,,1050,4,1,80
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Mileeou,1250,2,1,77.88
Super built-up  Area,18-May,8th Block Jayanagar,2 BHK,,1100,2,2,110
Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2,1,46.13
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,,1420,2,2,46
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2,1,78
Built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,1942,3,1,155
Super built-up  Area,18-Dec,Haralur Road,3 BHK,NDiteio,1985,3,2,130
Super built-up  Area,18-Apr,Sarjapur  Road,1 BHK,Kiare S,950,1,0,39.9
Plot  Area,Ready To Move,AMS Layout,3 Bedroom,,1200,4,2,80
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1752,3,2,105
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,3,2,120
Plot  Area,Ready To Move,Mahalakshmi Layout,5 Bedroom,,1200,5,1,200
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480,2,2,84
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,600,4,1,81
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1826,3,2,130
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1035,2,1,39.33
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Saacesa,2600,4,,98
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1667,3,2,92
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,934,2,2,55
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,84.53Sq. Meter,3,1,69.34
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1620,2,1,76
Super built-up  Area,17-Jun,Electronic City,2 BHK,GMown E,1070,2,1,47
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,,3600,5,3,180
Super built-up  Area,18-Apr,Uttarahalli,3 BHK,,1280,2,2,60
Super built-up  Area,Ready To Move,rr nagar,2 BHK,,1400,2,2,60
Plot  Area,Ready To Move,Vishveshwarya Layout,7 Bedroom,,1200,8,,180
Built-up  Area,Ready To Move,"Varthur Road, ",2 BHK,,1330,2,1,64
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2,1,54.59
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1611,2,2,48.33
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gamesti,1405,3,2,58
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,Vaurtar,1515,3,3,90
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4,2,150
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Omncy R,1710,3,0,60
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Varala ,935,2,1,51.5
Super built-up  Area,18-Apr,Jakkur,3 BHK,,2197,3,2,136
Plot  Area,Ready To Move,TC Palaya,4 Bedroom,,600,4,0,65
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1678,3,,92.13
Built-up  Area,Ready To Move,Brookefield,3 BHK,Roeekbl,1410,2,0,80
Super built-up  Area,Ready To Move,Jakkur,2 BHK,AvensGa,1125,2,2,65
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Vrenty ,1191,2,1,55.38
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2,2,79
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Keera R,1525,2,3,67
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,3,56
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,920,2,1,27
Built-up  Area,Ready To Move,Yelahanka,1 BHK,,651,1,1,17.5
Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Javasya,600,1,2,25
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,44
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1190,2,1,68
Plot  Area,Ready To Move,Harohalli,2 Bedroom,,2.09Acres,2,0,200
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5,0,158.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2,3,73
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1200,1,0,65
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,,7000,4,3,550
Plot  Area,Ready To Move,Ramamurthy Nagar,6 Bedroom,,1200,4,1,110
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,2,1,24
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3 BHK,Stkarrd,1250,3,3,50
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1480,2,1,58
Built-up  Area,Ready To Move,Ambalipura,4 BHK,Toeadp ,3300,4,2,329
Super built-up  Area,18-May,KR Puram,3 BHK,TGasyhu,1482 - 1684,,,70.445
Super built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1206,2,1,53
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2,1,130
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,,925,2,1,46.5
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,909,2,1,40.9
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,5,2,335
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2,1,55
Plot  Area,18-May,Malleshwaram,4 Bedroom,,3000,5,2,815
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1100,2,1,54
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2,1,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2,2,44.17
Plot  Area,Ready To Move,Roopena Agrahara,4 Bedroom,,1200,4,1,95
Super built-up  Area,Ready To Move,Kalena Agrahara,1 BHK,MBpleca,610,1,1,39
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1484,2,2,56.4
Super built-up  Area,17-May,Ramamurthy Nagar,2 BHK,Vedhias,1125,2,1,47
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2,1,75.97
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2882,5,1,158
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,750,4,0,88
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,,2075,3,1,115
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,2 BHK,Pantsce,1250,2,1,58
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2,2,51.5
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1050,3,2,125
Super built-up  Area,18-Aug,Venkateshpuram,2 BHK,,625,2,1,24
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,840,2,2,50
Super built-up  Area,Ready To Move,Hennur Road,4 BHK,Samittv,2502,4,2,180
Super built-up  Area,Ready To Move,Rayasandra,1 BHK,MJeusyl,583,1,1,26.9
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,900,2,1,27
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2,2,50
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,,1464,2,2,56
Built-up  Area,18-Mar,Kanakapura,3 Bedroom,,2200,3,1,121
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,750,1,1,51
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Afncyad,1600,3,3,58
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,SLarei ,1365,2,2,49
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,,1300,3,2,64
Built-up  Area,Ready To Move,Kurubarahalli,1 Bedroom,,1200,1,0,69
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARaveSa,1260,2,2,35
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Sarlsm ,1190,2,2,33.92
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,4,1,260
Super built-up  Area,18-May,Vishwapriya Layout,3 BHK,,1250,3,2,38
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1500,3,0,75
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Naiewre,1510,3,3,47.57
Super built-up  Area,19-Jan,7th Phase JP Nagar,2 BHK,,1187,2,1,59
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1120,2,1,53.76
Super built-up  Area,20-Dec,Whitefield,2 BHK,Somns T,981 - 1249,2,0,34.555
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1717,3,3,99
Built-up  Area,Ready To Move,Mullur,3 BHK,Arora A,2099,3,,95
